Signatur,Sortierung,Spider,Test,Parameter,Bedeutung,Format,URL (manuell),Bezeichnung der URL (nur intern),Stufe 2 de,Stufe 2 fr,Stufe 2 it,Stufe 3 de,Stufe 3 fr,Stufe 3 it,Matching,GN-Match,Bemerkung DE,Bemerkung FR,Bemerkung IT,interne Bemerkung,Gesetzliche Grundlage,Aktivität
CH_BGer_001,1,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,I. Öffentlich-rechtliche Abteilung,Ire Cour de droit public,I Corte di diritto pubblico,I. Öffentlich-rechtliche Abteilung|Ire Cour de droit public|I Corte di diritto pubblico,1#1B|1#1C|1#1D|1#1E|1#1F|1#1G|1#1X|1#1Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_002,2,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,II. Offentlich-rechtliche Abteilung,IIe Cour de droit public,II Corte di diritto pubblico,II. Offentlich-rechtliche Abteilung|IIe Cour de droit public|II Corte di diritto pubblico,1#2B|1#2C|1#2D|1#2E|1#2F|1#2G|1#2X|1#2Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_004,4,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,I. Zivilrechtliche Abteilung,Ire Cour de droit civil,I Corte di diritto civile,I. Zivilrechtliche Abteilung|Ire Cour de droit civil|I Corte di diritto civile,1#4A|1#4D|1#4E|1#4F|1#4G|1#4X|1#4Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_005,5,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,II. Zivilrechtliche Abteilung,IIe Cour de droit civil,II Corte di diritto civile,II. Zivilrechtliche Abteilung|IIe Cour de droit civil|II Corte di diritto civile,1#5A|1#5D|1#5E|1#5F|1#5G|1#5X|1#5Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_006,6,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,I. Strafrechtliche Abteilung,Ire Cour de droit pénal,I Corte di diritto penale,I. Strafrechtliche Abteilung|Ire Cour de droit pénal|I Corte di diritto penale|Strafrechtliche Abteilung|Cour de droit pénal|Corte di diritto penale,1#6B|1#6D|1#6E|1#6F|1#6G|1#6S|1#6P|1#6X|1#6Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_007,7,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,II. Strafrechtliche Abteilung,IIe Cour de droit pénal,II Corte di diritto penale,II. Strafrechtliche Abteilung|IIe Cour de droit pénal|II Corte di diritto penale,1#7B|1#7D|1#7E|1#7F|1#7G|1#7X|1#7Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_008,8,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,III. Öffentlich-rechtliche Abteilung (I. Sozialrechtliche Abteilung),IIIe Cour de droit public (Ire Cour de droit social),III Corte di diritto pubblico (I Corte di diritto sociale),III. Öffentlich-rechtliche Abteilung|I. Sozialrechtliche Abteilung|IIIe Cour de droit public|Ire Cour de droit social|III Corte di diritto pubblico|I Corte di diritto sociale,1#8C|1#8D|1#8E|1#8F|1#8G|1#8X|1#8Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_009,9,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,IV. Öffentlich-rechtliche Abteilung (II. Sozialrechtliche Abteilung),IVe Cour de droit public (IIe Cour de droit social),IV Corte di diritto pubblico (II Corte di diritto sociale),IV. Öffentlich-rechtliche Abteilung|II. Sozialrechtliche Abteilung|IVe Cour de droit public|IIe Cour de droit social|IV Corte di diritto pubblico|II Corte di diritto sociale,1#9C|1#9D|1#9E|1#9F|1#9G|1#9X|1#9Y,seit 2000,depuis 2000,dal 2000,,BUND 173.110.131,
CH_BGer_010,10,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,Schuldbetreibungs- und Konkurskammer (bis 2006),Chambre des poursuites et des faillites (jusqu'en 2006),Camera delle esecuzioni e dei fallimenti (fino a 2006),Schuldbetreibungs- und Konkurskammer|Chambre des poursuites et des faillites|Camera delle esecuzioni e dei fallimenti,,,,,,,
CH_BGer_011,11,CH_BGer,,ab,Entscheiddatum,TT.MM.JJJJ,https://www.bger.ch/ext/eurospider/live/de/php/clir/http/index_atf.php,Bundesgericht,Bundesgericht,Tribunal fédéral,Tribunale federale,Rekurskommission,Commission de recours,Commissione di ricorso,Rekurskommission|Commission de recours|Commissione di ricorso,1#13Y,,,,,,
